"闸门调控序列																																																										"	
湍河	严陵河
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
5500	5500
