边界条件信息				
计算开始时间	计算结束时间	边界条件步长	计算时间步长	输出时间步长
0	14400	300	60	300
上游边界控制符	下游边界控制符	（0-流量；1-水位）		
0	1			
输出结果范围（0-仅输出节制闸断面结果；1-输出各元件断面结果）				
1				
上游边界过程	下游边界过程			
180.561368	144.5587699			
180.5520477	144.5585929			
180.5427273	144.558416			
180.533407	144.558239			
180.5240867	144.558062			
180.5147663	144.557885			
180.505446	144.5577081			
180.4961256	144.5575311			
180.4868053	144.5573541			
180.477485	144.5571771			
180.4681646	144.5570002			
180.4588443	144.5568232			
180.449524	144.5566462			
180.4402036	144.5564692			
180.4308833	144.5562923			
180.4215629	144.5561153			
180.4122426	144.5559383			
180.4029223	144.5557613			
180.3936019	144.5555844			
180.3842816	144.5554074			
180.3749613	144.5552304			
180.3656409	144.5550534			
180.3563206	144.5548765			
180.3470002	144.5546995			
180.3376799	144.5545225			
180.3386195	144.5546811			
180.3395592	144.5548397			
180.3404988	144.5549984			
180.3414384	144.555157			
180.342378	144.5553156			
180.3433177	144.5554742			
180.3442573	144.5556328			
180.3451969	144.5557914			
180.3461365	144.5559501			
180.3470762	144.5561087			
180.3480158	144.5562673			
180.3489554	144.5564259			
180.349895	144.5565845			
180.3508347	144.5567431			
180.3517743	144.5569018			
180.3527139	144.5570604			
180.3536535	144.557219			
180.3545932	144.5573776			
180.3555328	144.5575362			
180.3564724	144.5576948			
180.357412	144.5578535			
180.3583517	144.5580121			
180.3592913	144.5581707			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
180.3602309	144.5583293			
